category_id,original_category,supercategory,annotations,images,material_mapping,object_mapping,decision_rationale,ambiguity,object_rationale
59,Cigarette,Cigarette,667,227,EXCLUDE,cigarette,"cellulose-acetate filter + paper + tobacco. No single material applies, and it is not an item BinSight can usefully advise on. Largest category (667) — including it as 'other' would let one ambiguous class dominate",high,distinctive small white cylinder with a filter; visually consistent even though its material is not
58,Unlabeled litter,Unlabeled litter,517,269,EXCLUDE,other_litter,material unknown by definition; 517 annotations of 'something' would teach the detector nothing about material,high,annotated litter of unknown type
36,Plastic film,Plastic bag & wrapper,451,310,plastic,bag_wrapper,"polymer film, material named in the label",low,thin deformable film
5,Clear plastic bottle,Bottle,284,224,plastic,bottle,PET bottle,low,bottle silhouette
29,Other plastic,Other plastic,273,171,plastic,other_litter,"explicitly plastic, object unspecified",low,shape unspecified
39,Other plastic wrapper,Plastic bag & wrapper,260,184,plastic,bag_wrapper,polymer wrapper,low,wrapper
12,Drink can,Can,229,151,metal,can,aluminium beverage can,low,cylindrical can
7,Plastic bottle cap,Bottle cap,209,185,plastic,other_litter,HDPE/PP closure,low,small disc/cap
55,Plastic straw,Straw,157,110,plastic,other_litter,polymer straw,low,thin tube
9,Broken glass,Broken glass,138,15,glass,other_litter,explicitly glass,low,shards
57,Styrofoam piece,Styrofoam piece,112,78,plastic,other_litter,expanded polystyrene is a plastic,low,irregular foam fragment
21,Disposable plastic cup,Cup,104,91,plastic,cup,polymer cup,low,cup silhouette
6,Glass bottle,Bottle,104,74,glass,bottle,glass bottle,low,bottle silhouette
50,Pop tab,Pop tab,99,71,metal,other_litter,aluminium tab,low,very small metal tab
14,Other carton,Carton,93,79,cardboard,carton,carton board,low,board box
33,Normal paper,Paper,82,68,paper,other_litter,paper,low,sheet
8,Metal bottle cap,Bottle cap,80,55,metal,other_litter,steel/aluminium crown cap,low,small disc/cap
27,Plastic lid,Lid,77,69,plastic,other_litter,polymer lid,low,flat disc
20,Paper cup,Cup,67,62,REVIEW,cup,"board with a polymer lining; widely NOT recyclable as paper, so labelling it 'paper' would mislead",high,cup silhouette
