image,predicted_class,confidence,best_iou_with_any_gt
batch_11_000089.jpg,bag_wrapper,0.2547,0.0
batch_12_000061.jpg,bag_wrapper,0.3232,0.3163
batch_12_000092.jpg,cup,0.2943,0.0
batch_12_000094.jpg,can,0.2698,0.0152
batch_13_000025.jpg,cup,0.8075,0.1313
batch_13_000026.jpg,carton,0.3097,0.0
batch_13_000026.jpg,bottle,0.2823,0.0
batch_14_000022.jpg,bag_wrapper,0.3559,0.0
batch_14_000022.jpg,bag_wrapper,0.3406,0.0224
batch_14_000022.jpg,carton,0.2965,0.0362
batch_14_000079.jpg,cigarette,0.4089,0.0
batch_15_000064.jpg,carton,0.6071,0.0
batch_1_000000.jpg,bottle_cap,0.9446,0.0413
batch_1_000000.jpg,bottle_cap,0.4174,0.0
batch_1_000005.jpg,bottle,0.4709,0.0
batch_1_000023.jpg,can,0.3072,0.3674
batch_1_000091.JPG,can,0.4128,0.0
batch_1_000108.JPG,bag_wrapper,0.908,0.0
